"prop","pop_size","method","estimate"
0.1,200,"lp",105
0.1,200,"lp",240
0.1,200,"lp",190
0.1,200,"lp",170
0.1,200,"lp",310
0.1,200,"lp",360
0.1,200,"lp",NA
0.1,200,"lp",180
0.1,200,"lp",90
0.1,200,"lp",NA
0.1,200,"lp",200
0.1,200,"lp",200
0.1,200,"lp",146.666666666667
0.1,200,"lp",92
0.1,200,"lp",133.333333333333
0.1,200,"lp",440
0.1,200,"lp",380
0.1,200,"lp",135
0.1,200,"lp",100
0.1,200,"lp",180
0.1,200,"lp",190
0.1,200,"lp",400
0.1,200,"lp",240
0.1,200,"lp",250
0.1,200,"lp",92
0.1,200,"lp",80
0.1,200,"lp",400
0.1,200,"lp",200
0.1,200,"lp",110
0.1,200,"lp",115
0.1,200,"lp",166.666666666667
0.1,200,"lp",220
0.1,200,"lp",NA
0.1,200,"lp",150
0.1,200,"lp",90
0.1,200,"lp",300
0.1,200,"lp",113.333333333333
0.1,200,"lp",160
0.1,200,"lp",170
0.1,200,"lp",260
0.1,200,"lp",380
0.1,200,"lp",150
0.1,200,"lp",100
0.1,200,"lp",NA
0.1,200,"lp",140
0.1,200,"lp",240
0.1,200,"lp",420
0.1,200,"lp",400
0.1,200,"lp",153.333333333333
0.1,200,"lp",160
0.1,200,"lp",160
0.1,200,"lp",105
0.1,200,"lp",170
0.1,200,"lp",NA
0.1,200,"lp",88
0.1,200,"lp",220
0.1,200,"lp",220
0.1,200,"lp",240
0.1,200,"lp",440
0.1,200,"lp",420
0.1,200,"lp",120
0.1,200,"lp",130
0.1,200,"lp",460
0.1,200,"lp",115
0.1,200,"lp",46.6666666666667
0.1,200,"lp",NA
0.1,200,"lp",72
0.1,200,"lp",NA
0.1,200,"lp",400
0.1,200,"lp",420
0.1,200,"lp",67.5
0.1,200,"lp",460
0.1,200,"lp",230
0.1,200,"lp",124
0.1,200,"lp",200
0.1,200,"lp",340
0.1,200,"lp",460
0.1,200,"lp",340
0.1,200,"lp",210
0.1,200,"lp",240
0.1,200,"lp",106.666666666667
0.1,200,"lp",160
0.1,200,"lp",NA
0.1,200,"lp",420
0.1,200,"lp",200
0.1,200,"lp",220
0.1,200,"lp",NA
0.1,200,"lp",440
0.1,200,"lp",300
0.1,200,"lp",180
0.1,200,"lp",220
0.1,200,"lp",220
0.1,200,"lp",135
0.1,200,"lp",170
0.1,200,"lp",220
0.1,200,"lp",340
0.1,200,"lp",200
0.1,200,"lp",220
0.1,200,"lp",360
0.1,200,"lp",120
0.1,200,"lp",460
0.1,200,"lp",NA
0.1,200,"lp",360
0.1,200,"lp",120
0.1,200,"lp",NA
0.1,200,"lp",NA
0.1,200,"lp",210
0.1,200,"lp",146.666666666667
0.1,200,"lp",440
0.1,200,"lp",146.666666666667
0.1,200,"lp",340
0.1,200,"lp",120
0.1,200,"lp",260
0.1,200,"lp",108
0.1,200,"lp",230
0.1,200,"lp",420
0.1,200,"lp",420
0.1,200,"lp",76
0.1,200,"lp",210
0.1,200,"lp",180
0.1,200,"lp",200
0.1,200,"lp",340
0.1,200,"lp",180
0.1,200,"lp",115
0.1,200,"lp",360
0.1,200,"lp",NA
0.1,200,"lp",320
0.1,200,"lp",190
0.1,200,"lp",160
0.1,200,"lp",200
0.1,200,"lp",190
0.1,200,"lp",166.666666666667
0.1,200,"lp",360
0.1,200,"lp",220
0.1,200,"lp",320
0.1,200,"lp",166.666666666667
0.1,200,"lp",190
0.1,200,"lp",190
0.1,200,"lp",100
0.1,200,"lp",133.333333333333
0.1,200,"lp",420
0.1,200,"lp",240
0.1,200,"lp",260
0.1,200,"lp",220
0.1,200,"lp",380
0.1,200,"lp",NA
0.1,200,"lp",380
0.1,200,"lp",190
0.1,200,"lp",380
0.1,200,"lp",NA
0.1,200,"lp",340
0.1,200,"lp",115
0.1,200,"lp",76.6666666666667
0.1,200,"lp",300
0.1,200,"lp",380
0.1,200,"lp",360
0.1,200,"lp",95
0.1,200,"lp",NA
0.1,200,"lp",160
0.1,200,"lp",360
0.1,200,"lp",93.3333333333333
0.1,200,"lp",380
0.1,200,"lp",180
0.1,200,"lp",68
0.1,200,"lp",190
0.1,200,"lp",180
0.1,200,"lp",133.333333333333
0.1,200,"lp",360
0.1,200,"lp",380
0.1,200,"lp",71.4285714285714
0.1,200,"lp",75
0.1,200,"lp",95
0.1,200,"lp",153.333333333333
0.1,200,"lp",160
0.1,200,"lp",NA
0.1,200,"lp",300
0.1,200,"lp",126.666666666667
0.1,200,"lp",240
0.1,200,"lp",126.666666666667
0.1,200,"lp",440
0.1,200,"lp",70
0.1,200,"lp",166.666666666667
0.1,200,"lp",153.333333333333
0.1,200,"lp",160
0.1,200,"lp",170
0.1,200,"lp",240
0.1,200,"lp",190
0.1,200,"lp",NA
0.1,200,"lp",180
0.1,200,"lp",240
0.1,200,"lp",NA
0.1,200,"lp",166.666666666667
0.1,200,"lp",133.333333333333
0.1,200,"lp",120
0.1,200,"lp",100
0.1,200,"lp",190
0.1,200,"lp",280
0.1,200,"lp",76
0.1,200,"lp",180
0.1,200,"lp",NA
0.1,200,"lp",320
0.1,200,"lp",320
0.1,200,"lp",100
0.1,200,"lp",540
0.1,200,"lp",170
0.1,200,"lp",150
0.1,200,"lp",NA
0.1,200,"lp",90
0.1,200,"lp",68
0.1,200,"lp",NA
0.1,200,"lp",240
0.1,200,"lp",NA
0.1,200,"lp",400
0.1,200,"lp",310
0.1,200,"lp",280
0.1,200,"lp",280
